Match Number,Round Number,Date,Location,Home Team,Away Team,Result
219,25,07/03/2027 00:00,Estádio José Alvalade,Sporting CP,SC Braga,
220,25,07/03/2027 00:00,Estádio de São Miguel,Santa Clara,Casa Pia AC,
221,25,07/03/2027 00:00,Estádio do FC Alverca,FC Alverca,FC Famalicão,
222,25,07/03/2027 00:00,Estádio do Dragão,FC Porto,Marítimo M.,
223,25,07/03/2027 00:00,Estádio Cidade de Barcelos,Gil Vicente FC,Moreirense FC,
224,25,07/03/2027 00:00,Estádio da Madeira,CD Nacional,Rio Ave FC,
225,25,07/03/2027 00:00,Estádio D. Afonso Henriques,Vitória SC,SL Benfica,
226,26,14/03/2027 00:00,Estádio Municipal de Arouca,FC Arouca,FC Alverca,
227,26,14/03/2027 00:00,Estádio Municipal de Rio Maior,Casa Pia AC,Estrela Amadora,
228,26,14/03/2027 00:00,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Estoril Praia,
229,26,14/03/2027 00:00,Estádio do Dragão,FC Porto,Gil Vicente FC,
230,26,14/03/2027 00:00,Estádio Municipal de Braga,SC Braga,CD Nacional,
231,26,14/03/2027 00:00,Estádio Municipal de Famalicão,FC Famalicão,Rio Ave FC,
232,26,14/03/2027 00:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Santa Clara,
233,26,14/03/2027 00:00,Estádio Municipal do Fontelo,Académico,Sporting CP,
234,26,14/03/2027 00:00,Estádio do Marítimo,Marítimo M.,Vitória SC,
235,27,21/03/2027 00:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Académico,
236,27,21/03/2027 00:00,Estádio da Madeira,CD Nacional,FC Arouca,
237,27,21/03/2027 00:00,Estádio Municipal de Famalicão,FC Famalicão,SC Braga,
238,27,21/03/2027 00:00,Estádio José Alvalade,Sporting CP,Casa Pia AC,
239,27,21/03/2027 00:00,Estádio D. Afonso Henriques,Vitória SC,Gil Vicente FC,
240,27,21/03/2027 00:00,Estádio de São Miguel,Santa Clara,Marítimo M.,
241,27,21/03/2027 00:00,Estádio José Gomes,Estrela Amadora,Moreirense FC,
242,27,21/03/2027 00:00,Estádio António Coimbra da Mota,Estoril Praia,FC Porto,
243,27,21/03/2027 00:00,Estádio do FC Alverca,FC Alverca,SL Benfica,
244,28,04/04/2027 00:00,Estádio Municipal de Rio Maior,Casa Pia AC,FC Alverca,
245,28,04/04/2027 00:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Estrela Amadora,
246,28,04/04/2027 00:00,Estádio do Marítimo,Marítimo M.,Estoril Praia,
247,28,04/04/2027 00:00,Estádio Municipal de Arouca,FC Arouca,FC Famalicão,
248,28,04/04/2027 00:00,Estádio Municipal do Fontelo,Académico,CD Nacional,
249,28,04/04/2027 00:00,Estádio Municipal de Braga,SC Braga,Rio Ave FC,
250,28,04/04/2027 00:00,Estádio Cidade de Barcelos,Gil Vicente FC,Santa Clara,
251,28,04/04/2027 00:00,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Sporting CP,
252,28,04/04/2027 00:00,Estádio do Dragão,FC Porto,Vitória SC,
253,29,11/04/2027 00:00,Estádio do FC Alverca,FC Alverca,Académico,
254,29,11/04/2027 00:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,FC Arouca,
255,29,11/04/2027 00:00,Estádio Municipal de Braga,SC Braga,Casa Pia AC,
256,29,11/04/2027 00:00,Estádio António Coimbra da Mota,Estoril Praia,Gil Vicente FC,
257,29,11/04/2027 00:00,Estádio da Madeira,CD Nacional,Marítimo M.,
258,29,11/04/2027 00:00,Estádio de São Miguel,Santa Clara,Moreirense FC,
259,29,11/04/2027 00:00,Estádio José Alvalade,Sporting CP,FC Porto,
260,29,11/04/2027 00:00,Estádio Municipal de Famalicão,FC Famalicão,SL Benfica,
261,29,11/04/2027 00:00,Estádio José Gomes,Estrela Amadora,Vitória SC,
262,30,18/04/2027 00:00,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,FC Alverca,
