Match Number,Round Number,Date,Location,Home Team,Away Team,Result
217,25,19/03/2027 23:00,Stade Raymond Kopa,Angers SCO,Le Mans FC,
218,25,19/03/2027 23:00,Stade Bollaert-Delelis,RC Lens,LOSC Lille,
219,25,19/03/2027 23:00,Stade du Moustoir,FC Lorient,OGC Nice,
220,25,19/03/2027 23:00,Stade Vélodrome,Olympique de Marseille,Olympique Lyonnais,
221,25,19/03/2027 23:00,Stade Louis II,AS Monaco,Havre Athletic Club,
222,25,19/03/2027 23:00,Parc des Princes,Paris Saint-Germain,RC Strasbourg Alsace,
223,25,19/03/2027 23:00,Roazhon Park,Stade Rennais FC,Paris FC,
224,25,19/03/2027 23:00,Stadium de Toulouse,Toulouse FC,Stade Brestois 29,
225,25,19/03/2027 23:00,Stade de l'Aube,Estac Troyes,AJ Auxerre,
226,26,02/04/2027 23:00,Stade Raymond Kopa,Angers SCO,AS Monaco,
227,26,02/04/2027 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,RC Lens,
228,26,02/04/2027 23:00,Stade Francis-Le Blé,Stade Brestois 29,FC Lorient,
229,26,02/04/2027 23:00,Stade Océane,Havre Athletic Club,Estac Troyes,
230,26,02/04/2027 23:00,Stade Marie-Marvingt,Le Mans FC,Olympique de Marseille,
231,26,02/04/2027 23:00,Stade Pierre-Mauroy,LOSC Lille,Stade Rennais FC,
232,26,02/04/2027 23:00,Allianz Riviera,OGC Nice,Olympique Lyonnais,
233,26,02/04/2027 23:00,Stade Charléty,Paris FC,Paris Saint-Germain,
234,26,02/04/2027 23:00,Stade de la Meinau,RC Strasbourg Alsace,Toulouse FC,
235,27,09/04/2027 23:00,Stade Marie-Marvingt,Le Mans FC,AJ Auxerre,
236,27,09/04/2027 23:00,Stade Pierre-Mauroy,LOSC Lille,Toulouse FC,
237,27,09/04/2027 23:00,Stade du Moustoir,FC Lorient,RC Lens,
238,27,09/04/2027 23:00,Parc Olympique Lyonnais,Olympique Lyonnais,RC Strasbourg Alsace,
